,poisson,tbr,sf,bsa,pe,be,dummy
lr,4.182674019527698e-05,7.469068064183875e-05,8.7414418269108e-05,6.82947151662786e-05,9.41530002941882e-05,3.866770865487511e-05,4.494981990147103e-05
weight_decay,1.3555298836573258e-05,1.9342710855306664e-06,6.120736055216126e-05,3.48210294726769e-06,4.818357334418901e-05,1.7678134986255464e-06,3.852628524219839e-06
scheduler_factor,0.4094699857423868,0.18256563548193644,0.6986389693143417,0.3434576235217472,0.2674219510555711,0.7841479869248199,0.6094288351279789
scheduler_patience,5,5,3,10,6,8,9
threshold,0.05835285785794581,0.042005679527546066,0.05344482304736103,0.05837571787591716,0.05527393367398846,0.04665998904508566,0.04841620545751275
slope,6.459242733756421,4.874079245445129,8.644166988820501,6.7082922718644795,9.415593497231455,16.425836068371417,10.775234211907707
beta,0.8307239691792176,0.5674978363887917,0.7885752917289708,0.6703615532512789,0.8886846905405874,0.6125272009676322,0.6813185001652613
dropout_rate1,0.19793982388024786,0.5034210147730156,0.16736348589724934,0.3867650737818362,0.5668661624810879,0.8881359372342221,0.27980417769804616
dropout_rate2,0.7343577284036589,0.7535452141716618,0.1692179336065133,0.2650897828875425,0.344404351271259,0.6456865919989918,0.18935348783155104
encoder_params,"PoissonEncoder(interval_freq=5, random_seed=47)",TBREncoder(threshold=1.373600005738427),StepForwardEncoder(threshold=0.21120508430205132),"BSAEncoder(win_size=8, cutoff=0.9119280348604326, threshold=0.4593807635436444)",PhaseEncoder(phase_window=1),"BurstEncoder(max_window=5, n_max=2, t_max=1, t_min=1)",DummyEncoder()
